date,value,sourceName
2022-12-02 06:22:00 +0100,66,Alpha Watch
2022-12-02 06:24:00 +0100,68,Alpha Watch
2022-12-02 06:25:00 +0100,68,Alpha Watch
2022-12-02 06:26:00 +0100,70,Alpha Watch
2022-12-02 06:27:00 +0100,69,Alpha Watch
2022-12-02 06:28:00 +0100,68,Alpha Watch
2022-12-02 06:29:00 +0100,68,Alpha Watch
2022-12-02 06:30:00 +0100,65,Alpha Watch
2022-12-02 06:31:00 +0100,65,Alpha Watch
2022-12-02 06:32:00 +0100,66,Alpha Watch
2022-12-02 06:33:00 +0100,67,Alpha Watch
2022-12-02 06:35:00 +0100,67,Alpha Watch
2022-12-02 06:36:00 +0100,61,Alpha Watch
2022-12-02 06:37:00 +0100,59,Alpha Watch
2022-12-02 06:38:00 +0100,64,Alpha Watch
2022-12-02 06:39:00 +0100,67,Alpha Watch
2022-12-02 06:40:00 +0100,66,Alpha Watch
2022-12-02 06:41:00 +0100,62,Alpha Watch
2022-12-02 06:42:00 +0100,61,Alpha Watch
2022-12-02 06:43:00 +0100,69,Alpha Watch
2022-12-02 06:45:00 +0100,70,Alpha Watch
2022-12-02 06:46:00 +0100,72,Alpha Watch
2022-12-02 06:47:00 +0100,70,Alpha Watch
2022-12-02 06:48:00 +0100,68,Alpha Watch
2022-12-02 06:49:00 +0100,64,Alpha Watch
2022-12-02 06:50:00 +0100,64,Alpha Watch
2022-12-02 06:51:00 +0100,67,Alpha Watch
2022-12-02 06:52:00 +0100,71,Alpha Watch
2022-12-02 06:53:00 +0100,67,Alpha Watch
2022-12-02 06:55:00 +0100,63,Alpha Watch
2022-12-02 06:56:00 +0100,66,Alpha Watch
2022-12-02 06:57:00 +0100,65,Alpha Watch
2022-12-02 06:58:00 +0100,64,Alpha Watch
2022-12-02 06:59:00 +0100,65,Alpha Watch
2022-12-02 07:00:00 +0100,64,Alpha Watch
2022-12-02 07:01:00 +0100,64,Alpha Watch
2022-12-02 07:02:00 +0100,65,Alpha Watch
2022-12-02 07:03:00 +0100,65,Alpha Watch
2022-12-02 07:05:00 +0100,66,Alpha Watch
2022-12-02 07:06:00 +0100,64,Alpha Watch
2022-12-02 07:07:00 +0100,65,Alpha Watch
2022-12-02 07:08:00 +0100,65,Alpha Watch
2022-12-02 07:09:00 +0100,66,Alpha Watch
2022-12-02 07:10:00 +0100,65,Alpha Watch
2022-12-02 07:11:00 +0100,64,Alpha Watch
2022-12-02 07:12:00 +0100,64,Alpha Watch
2022-12-02 07:13:00 +0100,65,Alpha Watch
2022-12-02 07:15:00 +0100,65,Alpha Watch
2022-12-02 07:16:00 +0100,68,Alpha Watch
2022-12-02 07:17:00 +0100,66,Alpha Watch
2022-12-02 07:18:00 +0100,66,Alpha Watch
2022-12-02 07:19:00 +0100,65,Alpha Watch
2022-12-02 07:20:00 +0100,65,Alpha Watch
2022-12-02 07:21:00 +0100,65,Alpha Watch
2022-12-02 07:22:00 +0100,66,Alpha Watch
2022-12-02 07:23:00 +0100,65,Alpha Watch
2022-12-02 07:25:00 +0100,65,Alpha Watch
2022-12-02 07:26:00 +0100,64,Alpha Watch
2022-12-02 07:27:00 +0100,67,Alpha Watch
2022-12-02 07:28:00 +0100,67,Alpha Watch
2022-12-02 07:29:00 +0100,66,Alpha Watch
2022-12-02 07:30:00 +0100,60,Alpha Watch
2022-12-02 07:31:00 +0100,60,Alpha Watch
2022-12-02 07:32:00 +0100,60,Alpha Watch
2022-12-02 07:33:00 +0100,61,Alpha Watch
2022-12-02 07:35:00 +0100,61,Alpha Watch
2022-12-02 07:36:00 +0100,62,Alpha Watch
2022-12-02 07:37:00 +0100,68,Alpha Watch
2022-12-02 07:38:00 +0100,67,Alpha Watch
2022-12-02 07:39:00 +0100,66,Alpha Watch
2022-12-02 07:40:00 +0100,66,Alpha Watch
2022-12-02 07:41:00 +0100,63,Alpha Watch
2022-12-02 07:42:00 +0100,67,Alpha Watch
2022-12-02 07:43:00 +0100,63,Alpha Watch
2022-12-02 07:45:00 +0100,63,Alpha Watch
2022-12-02 07:46:00 +0100,65,Alpha Watch
